x,y,z
2.999999999999999889e-01,0.000000000000000000e+00,6.999999999999999556e-01
3.099999995833332966e-01,0.000000000000000000e+00,6.999999999999999556e-01
3.199999970360846158e-01,4.843176474212776009e-06,6.999961176026423537e-01
3.299999796234748262e-01,-5.917054623885383101e-06,6.999820755530605787e-01
3.199999859922629808e-01,-1.816423926582376845e-05,6.999832650155082270e-01
3.299999684611046313e-01,-3.128240069098751366e-05,6.999952300883200973e-01
3.199999754966010301e-01,-3.758230394982394872e-05,7.000064111224185703e-01
3.299999577976041598e-01,-3.695184020359574986e-05,7.000242475765084960e-01
3.199999658153244719e-01,-3.567120159033308806e-05,7.000377636775423351e-01
3.299999478728997682e-01,-2.503715568737087047e-05,7.000522653568865827e-01
3.199999573391048568e-01,-1.780619802361137568e-05,7.000649537652258170e-01
3.299999390393473786e-01,-1.857608987235252708e-06,7.000736814520819307e-01
3.199999506427825824e-01,9.875017557179285063e-06,7.000845610698936961e-01
3.299999318161483397e-01,2.806006592839527654e-05,7.000877833701426578e-01
3.199999465736814708e-01,4.352139271911373801e-05,7.000967301913975094e-01
3.299999269692689974e-01,6.236676779457277177e-05,7.000955054079517348e-01
3.199999463818774537e-01,8.136978051677191449e-05,7.001026525035758397e-01
3.299999256291409333e-01,1.003064889480653022e-04,7.000980669318084271e-01
3.199999519122151970e-01,1.230969604334405704e-04,7.001035618227018364e-01
3.299999294642380621e-01,1.421616690170145268e-04,7.000964853448995440e-01
3.199999658875430919e-01,1.693101335293316790e-04,7.001004042312000131e-01
3.299999409372018078e-01,1.888919494816675290e-04,7.000914518965093425e-01
3.199999923266660384e-01,2.212386206270489509e-04,7.000937763249581725e-01
3.299999636828508942e-01,2.419395534016740841e-04,7.000833391795847627e-01
3.200000371611971262e-01,2.805801581669626547e-04,7.000839537884546715e-01
3.300000030661296435e-01,3.031492154997092307e-04,7.000722438279270987e-01
3.200001091460311087e-01,3.494501968291626793e-04,7.000709381465877179e-01
3.300000670056959517e-01,3.747624058430363701e-04,7.000580277907189064e-01
3.200002212032751481e-01,4.303981271754364363e-04,7.000544956086329762e-01
3.300001671896983235e-01,4.594608859987993062e-04,7.000403465230130573e-01
3.200003924061102234e-01,5.264692460333160115e-04,7.000341806154180002e-01
3.300003208706593361e-01,5.604462292399238444e-04,7.000186619587223102e-01
3.200006509075287164e-01,6.413018447559902481e-04,7.000093434976709661e-01
3.300005535156484981e-01,6.815496152627217820e-04,6.999922411644186049e-01
3.200010382644737361e-01,7.792556762094032157e-04,6.999791235413811430e-01
3.300009027200472844e-01,8.273711397482131410e-04,6.999601420388290585e-01
3.200016158233114916e-01,9.455725098298492287e-04,6.999424287645088505e-01
3.300014239889964007e-01,1.003451149826195977e-03,6.999211869801615915e-01
3.200024741516470095e-01,1.146572539313269823e-03,6.998979030900549514e-01
3.300021992813120808e-01,1.216478487603759239e-03,6.998739247479701664e-01
3.200037469749640873e-01,1.389892751487632749e-03,6.998438808330305072e-01
3.300033496434501834e-01,1.474542468201777605e-03,6.998165800324245289e-01
3.200056317808598894e-01,1.684775422424889457e-03,6.997783276613298575e-01
3.300050539079805723e-01,1.787437205905445048e-03,6.997469895779923066e-01
3.200084203050258536e-01,2.042416927267166286e-03,6.996987664760264680e-01
3.300075764033330028e-01,2.167028657358015340e-03,6.996625231000814793e-01
3.200125436906195997e-01,2.476389163461254362e-03,6.996021859778217555e-01
3.300113080943988808e-01,2.627696477954990801e-03,6.995599866840591652e-01
3.200186394964031900e-01,3.003148126052171494e-03,6.994849290326324853e-01
3.300168278282591405e-01,3.186864356469328204e-03,6.994355058866338348e-01
3.200276513661566846e-01,3.642646465712526087e-03,6.993425573260997341e-01
3.300249938588925014e-01,3.865633593030035065e-03,6.992843854281135529e-01
3.200409777930284805e-01,4.419068987517025572e-03,6.991696882412203884e-01
3.300370813502877532e-01,4.689534754250862698e-03,6.991009422858421862e-01
3.200606952409182360e-01,5.361711578941492744e-03,6.989597994914888979e-01
3.300549904547678826e-01,5.689410399909337196e-03,6.988783093609008956e-01
3.200898950141604637e-01,6.506024256447019011e-03,6.987049969483054568e-01
3.300815641798403033e-01,6.902437005995729069e-03,6.986082079343582940e-01
3.201331963291785265e-01,7.894836805680167241e-03,6.983957415495199994e-01
3.301210796700594918e-01,8.373285460101029601e-03,6.982806890376446196e-01
